Pays,Date d'adhésion,Date de retrait
Afrique du Sud,1919,
Albanie,17 décembre 1920,9 avril 1939
Allemagne,8 septembre 1926,21 octobre 1933
Argentine,1919,
Australie,1919,
Autriche,15 décembre 1920,13 mars 1938
Belgique,1919,
Bolivie,1919,
Brésil,1919,14 juin 1926
Bulgarie,16 décembre 1920,
Canada,1919,
Chili,1919,14 mai 1938
Colombie,1919,16 juillet 1938
Costa Rica,16 décembre 1920,22 janvier 1925
Cuba,1919,
Danemark,1919,juillet 1940
Égypte,26 mai 1937,
Équateur,28 septembre 1934,
Espagne,1919,1939
Estonie,22 septembre 1921,
Éthiopie,28 septembre 1923,
Finlande,16 décembre 1920,
France,1919,
Grèce,1919,
Guatemala,1919,26 mai 1936
Haïti,1919,avril 1942
Honduras,1919,10 juin 1936
Hongrie,18 septembre 1922,11 avril 1939
Inde,1919,
Irak,3 octobre 1932,
Irlande,10 septembre 1923,
Italie,1919,11 décembre 1937
Japon,1919,27 mars 1933
Lettonie,22 septembre 1921,
Liberia,1919,
Lituanie,22 septembre 1921,
Luxembourg,16 décembre 1920,30 août 1942
Mexique,23 septembre 1931,
Nicaragua,1919,27 juin 1936
Norvège,1919,
Nouvelle-Zélande,1919,
Panama,1919,23 février 1935
Paraguay,23 février 1935,
Pays-Bas,1919,
Pérou,1919,8 avril 1939
Pologne,1919,
Portugal,29 septembre 1924,
République dominicaine,1919,
Roumanie,1919,
Royaume-Uni,1919,17 avril 1941
Salvador,11 août 1937,
Siam,1919,
Suède,1919,
Suisse,1919,
Tchécoslovaquie,15 mars 1939,
Turquie,18 juillet 1932,
Union soviétique,18 septembre 1934,
Uruguay,1919,
Venezuela,1919,
Yougoslavie,1919,
